venue_mlb_id,venue_name,latitude,longitude,roof_type
1,Angel Stadium,33.80019,-117.8824,open
2,Oriole Park at Camden Yards,39.28379,-76.62169,open
3,Fenway Park,42.34646,-71.09744,open
4,Rate Field,41.83,-87.63417,open
5,Progressive Field,41.49586,-81.68526,open
7,Kauffman Stadium,39.05157,-94.48048,open
10,Oakland Coliseum,37.75151,-122.2007,open
12,Tropicana Field,27.76778,-82.6525,fixed
14,Rogers Centre,43.64155,-79.38915,retractable
15,Chase Field,33.4453,-112.06669,retractable
17,Wrigley Field,41.94817,-87.6555,open
19,Coors Field,39.75604,-104.99414,open
22,Dodger Stadium,34.07368,-118.24053,open
31,PNC Park,40.4469,-80.00575,open
32,American Family Field,43.02838,-87.97099,retractable
680,T-Mobile Park,47.59133,-122.33251,retractable
2392,Daikin Park,29.75697,-95.35551,retractable
2394,Comerica Park,42.33912,-83.0487,open
2395,Oracle Park,37.77838,-122.38945,open
2523,George M. Steinbrenner Field,27.97997,-82.50702,open
2529,Sutter Health Park,38.57994,-121.51246,open
2602,Great American Ball Park,39.09739,-84.50661,open
2680,Petco Park,32.70786,-117.15728,open
2681,Citizens Bank Park,39.90539,-75.16717,open
2889,Busch Stadium,38.62257,-90.19287,open
3289,Citi Field,40.75753,-73.84559,open
3309,Nationals Park,38.87286,-77.0075,open
3312,Target Field,44.98183,-93.27789,open
3313,Yankee Stadium,40.82919,-73.9265,open
4169,loanDepot park,25.77796,-80.21952,retractable
4705,Truist Park,33.89067,-84.46764,open
5325,Globe Life Field,32.7473,-97.08182,retractable
